"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6729","All POST - создание пользователя женского пола","","2026-06-30","passed","2026-06-30","","tests.AllPostTest","tests.AllPostTest","createFemaleUserFromAllPostPage"
"","6597","All POST - покупка автомобиля","","2026-06-30","passed","2026-06-30","","tests.AllPostTest","tests.AllPostTest","buyOrSellCarFromAllPostPage"
"","5797","createInvalidUser(User) Создание пользователя с невалидными данными - User(id=null, firstName=Kaitlyn, lastName=Hudson, age=null, sex=MALE, money=772453.91)","","2026-06-30","passed","2026-06-30","","tests.UserTest","tests.UserTest","createInvalidUser"
"","4117","checkOpeningPage(String, String, String) Проверка открытия страницы CreateUserPage","","2026-06-30","passed","2026-06-30","","tests.MenuTest","tests.MenuTest","checkOpeningPage"
"","5788","createInvalidUser(User) Создание пользователя с невалидными данными - User(id=null, firstName=Mignon, lastName=null, age=45, sex=MALE, money=429851.38)","","2026-06-30","passed","2026-06-30","","tests.UserTest","tests.UserTest","createInvalidUser"
"","29763","checkSortingByFixedTextField(String) Сортировка пользователей по полю Sex","","2026-06-30","passed","2026-06-30","","tests.UserTest","tests.UserTest","checkSortingByFixedTextField"
"Тест проверяет создание и последующее удаление автомобиля","772","Удаление автомобиля","","2026-06-30","passed","2026-06-30","","tests.api.CarCrudTest","tests.api.CarCrudTest","deleteCarTest"
"","5767","createInvalidUser(User) Создание пользователя с невалидными данными - User(id=null, firstName=Renee, lastName=Bergstrom, age=66, sex=FEMALE, money=null)","","2026-06-30","passed","2026-06-30","","tests.UserTest","tests.UserTest","createInvalidUser"
"","30860","checkSortingByNumericField(String) Сортировка пользователей по полю Age","","2026-06-30","passed","2026-06-30","","tests.UserTest","tests.UserTest","checkSortingByNumericField"
"","3759","Негативная авторизация с корректными кредами","","2026-06-30","passed","2026-06-30","","tests.LoginTest","tests.LoginTest","negativeLogin"
"Проверка открытия страницы Read all houses и кнопки Reload","10685","testReadAllHousesPage()","","2026-06-30","passed","2026-06-30","","tests.AllHousesTest","tests.AllHousesTest","testReadAllHousesPage"
"","3064","Ввод невалидных данных в поле 'email' Ввод невалидных данных в поле password: ok","","2026-06-30","passed","2026-06-30","","tests.LoginTest","tests.LoginTest","validatePasswordInput"
"Тест проверяет покупку автомобиля с недостаточными средствами","8139","Ошибка при покупке с недостаточными средствами","","2026-06-30","passed","2026-06-30","","tests.ui.car.BuyCarTest","tests.ui.car.BuyCarTest","buyCarWithInsufficientMoney"
"Тест параметризованный тест на создание автомобиля","3751","Создание автомобилей с разными параметрами [5] Hydrogenic, Lexus, LS, 350000","","2026-06-30","passed","2026-06-30","","tests.ui.car.CreateCarTest","tests.ui.car.CreateCarTest","createCarWithVariousData"
"","6512","All POST - создание пользователя","","2026-06-30","passed","2026-06-30","","tests.AllPostTest","tests.AllPostTest","createUserFromAllPostPage"
"Тест проверяет создание нового автомобиля с валидными данными","6569","Создание нового автомобиля с валидными данными","","2026-06-30","passed","2026-06-30","","tests.ui.car.CreateCarTest","tests.ui.car.CreateCarTest","createCarWithValidData"
"Создание нового дома с базовыми параметрами","35170","createSimpleHouse()","","2026-06-30","failed","2026-06-30","","tests.HouseTest","tests.HouseTest","createSimpleHouse"
"","5673","Получение списка автомобилей пользователя (у пользователя 1 машина)","","2026-06-30","passed","2026-06-30","","tests.UserTest","tests.UserTest","readUserWithOneCar"
"Параметризованный тест проверяет обработку ошибок при создании автомобиля с некорректными данными: пустые значения, недопустимые типы двигателя, отрицательная цена, числовые значения в строковых полях","388","Создание автомобиля с невалидными данными [1] null, X5, Diesel, 10000","","2026-06-30","passed","2026-06-30","","tests.api.CarNegativeTest","tests.api.CarNegativeTest","createInvalidCarTest"
"","375","createUserWithNullFields(UserRq) Создание пользователя с невалидными данными - UserRq(id=null, age=null, firstName=Brant, money=847603.85, secondName=VonRueden, sex=MALE)","","2026-06-30","passed","2026-06-30","","tests.api.UserApiTest","tests.api.UserApiTest","createUserWithNullFields"
"","4095","openAllPost()","","2026-06-30","passed","2026-06-30","","tests.MenuTest","tests.MenuTest","openAllPost"
"","3796","Негативная авторизация с некорректными кредами Негативный логин c email: test@test.com, password: test","","2026-06-30","passed","2026-06-30","","tests.LoginTest","tests.LoginTest","negativeLoginWith"
"","3091","Ввод невалидных данных в поле 'email' Ввод невалидных данных в поле password: loremipsum","","2026-06-30","passed","2026-06-30","","tests.LoginTest","tests.LoginTest","validatePasswordInput"
"","3260","Ввод невалидных данных в поле 'email' Ввод невалидных данных в поле email: test","","2026-06-30","passed","2026-06-30","","tests.LoginTest","tests.LoginTest","validateEmailInput"
"","15057","Множественные покупки одним пользователем [3] 3","","2026-06-30","passed","2026-06-30","","tests.ui.car.BuyCarTest","tests.ui.car.BuyCarTest","multiplePurchasesByUser"
