"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест проверяет создание автомобиля с водородным двигателем (Audi A4)","1515","Создание водородного автомобиля","","2026-08-31","passed","2026-08-31","","tests.api.car.CarCrudTest","tests.api.car.CarCrudTest","createPetrolCarTest"
"Тест проверяет создание дорогого электромобиля (Tesla ModelX)","1527","Создание дорогого автомобиля","","2026-08-31","passed","2026-08-31","","tests.api.car.CarCrudTest","tests.api.car.CarCrudTest","createExpensiveCarTest"
"Проверка переходов по основным разделам сайта","3870","checkOpeningPage(MenuOption) Проверка открытия страницы CARS_CREATE_NEW","","2026-08-31","passed","2026-08-31","","tests.ui.menu.MenuTest","tests.ui.menu.MenuTest","checkOpeningPage"
"Проверка создания пользователя с невалидными данными","5562","Создание пользователя с невалидными данными Создание пользователя с невалидными данными - User(id=null, firstName=Virgil, lastName=Yundt, age=92, sex=MALE, money=null)","","2026-08-31","passed","2026-08-31","","tests.ui.user.UserTest","tests.ui.user.UserTest","createInvalidUser"
"Проверка негативной авторизации с невалидными данными","3743","Негативная авторизация с некорректными кредами Негативный логин c email: test@test.com, password: test","","2026-08-31","passed","2026-08-31","","tests.ui.login.LoginTest","tests.ui.login.LoginTest","negativeLoginWith"
"Проверка переходов по основным разделам сайта","4016","checkOpeningPage(MenuOption) Проверка открытия страницы USERS_ADD_MONEY","","2026-08-31","passed","2026-08-31","","tests.ui.menu.MenuTest","tests.ui.menu.MenuTest","checkOpeningPage"
"Проверка сортировки списка автомобилей","23921","checkSortingByTextField(String) Сортировка автомобилей по полю Model","","2026-08-31","passed","2026-08-31","","tests.ui.car.CarSortTest","tests.ui.car.CarSortTest","checkSortingByTextField"
"В форме Create new house вводим отрицательную цену дома и ожидаем ошибку валидации без успешного создания","19165","All POST - ошибка при создании дома с невалидной ценой","","2026-08-31","passed","2026-08-31","","tests.ui.allpost.AllPostTest","tests.ui.allpost.AllPostTest","createHouseWithInvalidPriceFromAllPostPage"
"Проверка создания пользователя с невалидными данными","762","API - Создание пользователя с невалидными данными Создание пользователя с невалидными данными - UserRq(id=null, age=59, firstName=Caron, money=null, secondName=Kilback, sex=MALE)","","2026-08-31","passed","2026-08-31","","tests.api.user.UserApiTest","tests.api.user.UserApiTest","createInvalidUser"
"Проверка начисления денег несуществующему пользователю","2339","API - Попытка начисления денег несуществующему пользователю","","2026-08-31","passed","2026-08-31","","tests.api.user.UserApiTest","tests.api.user.UserApiTest","addMoneyToNotExistingUser"
"Создаем дом, пытаемся заселить несуществующего пользователя и ожидаем ошибку 404 без добавления жильца","1872","API - Ошибка при заселении несуществующего пользователя","","2026-08-31","passed","2026-08-31","","tests.api.allpost.AllPostApiTest","tests.api.allpost.AllPostApiTest","settleNonExistingUser"
"Тест проверяет создание автомобиля с дизельным двигателем (BMW X5)","1525","Создание дизельного автомобиля","","2026-08-31","passed","2026-08-31","","tests.api.car.CarCrudTest","tests.api.car.CarCrudTest","createDieselCarTest"
"Проверка переходов по основным разделам сайта","3849","checkOpeningPage(MenuOption) Проверка открытия страницы HOUSES_READ_ONE_BY_ID","","2026-08-31","passed","2026-08-31","","tests.ui.menu.MenuTest","tests.ui.menu.MenuTest","checkOpeningPage"
"Проверка сообщения о некорректном вводе в поле password","3031","Ввод невалидных данных в поле 'email' Ввод невалидных данных в поле password: loremipsum","","2026-08-31","passed","2026-08-31","","tests.ui.login.LoginTest","tests.ui.login.LoginTest","validatePasswordInput"
"Проверка получения списка автомобилей пользователя, у пользователя несколько машин","21948","Получение списка автомобилей пользователя Получение списка автомобилей пользователя - машин у пользователя: 5","","2026-08-31","passed","2026-08-31","","tests.ui.user.UserTest","tests.ui.user.UserTest","readUserWithCars"
"Тест проверяет продажу нескольких автомобилей одним пользователем","9037","Множественная продажа автомобилей одним пользователем [1] 1","","2026-08-31","passed","2026-08-31","","tests.ui.car.SellCarTest","tests.ui.car.SellCarTest","multipleSalesByUser"
"Проверка сообщения о некорректном вводе в поле email","2968","Ввод невалидных данных в поле 'email' Ввод невалидных данных в поле email: test.com","","2026-08-31","passed","2026-08-31","","tests.ui.login.LoginTest","tests.ui.login.LoginTest","validateEmailInput"
"Создаем пользователя, пытаемся выселить его из несуществующего дома и ожидаем ошибку 404","1544","API - Ошибка при выселении из несуществующего дома","","2026-08-31","passed","2026-08-31","","tests.api.allpost.AllPostApiTest","tests.api.allpost.AllPostApiTest","evictFromNonExistingHouse"
"Тест проверяет попытку продажи с недействительным ID пользователя","7509","Ошибка при продаже с недействительным ID пользователя","","2026-08-31","passed","2026-08-31","","tests.ui.car.SellCarTest","tests.ui.car.SellCarTest","sellCarWithInvalidUserId"
"Тест параметризованный тест на создание автомобиля","6380","Создание автомобилей с разными параметрами [5] Hydrogenic, Lexus, LS, 350000","","2026-08-31","passed","2026-08-31","","tests.ui.car.CreateCarTest","tests.ui.car.CreateCarTest","createCarWithVariousData"
"Проверка начисления денег пользователю","2292","API - Начисление денег пользователю","","2026-08-31","passed","2026-08-31","","tests.api.user.UserApiTest","tests.api.user.UserApiTest","addMoneyToUser"
"Проверка получения имущества несуществующего пользователя","1857","API - Получение имущества несуществующего пользователя","","2026-08-31","passed","2026-08-31","","tests.api.user.UserApiTest","tests.api.user.UserApiTest","getNotExistingUserInfo"
"Проверка создания пользователя с невалидными данными","5767","Создание пользователя с невалидными данными Создание пользователя с невалидными данными - User(id=null, firstName=null, lastName=Jenkins, age=69, sex=MALE, money=984502.75)","","2026-08-31","passed","2026-08-31","","tests.ui.user.UserTest","tests.ui.user.UserTest","createInvalidUser"
"Проверка получения списка автомобилей пользователя, у пользователя  нет автомобиля","7310","Получение списка автомобилей пользователя (у пользователя нет машины)","","2026-08-31","passed","2026-08-31","","tests.ui.user.UserTest","tests.ui.user.UserTest","readUserWithNoCar"
"Проверка создания пользователя с невалидными данными","766","API - Создание пользователя с невалидными данными Создание пользователя с невалидными данными - UserRq(id=null, age=33, firstName=Wes, money=276178.74, secondName=null, sex=MALE)","","2026-08-31","passed","2026-08-31","","tests.api.user.UserApiTest","tests.api.user.UserApiTest","createInvalidUser"
"Проверка сортировки списка пользователей","44835","checkSortingByTextField(String) Сортировка пользователей по полю First name","","2026-08-31","passed","2026-08-31","","tests.ui.user.UserTest","tests.ui.user.UserTest","checkSortingByTextField"
"Проверка создания нового пользователя","1543","API - Создание нового пользователя","","2026-08-31","passed","2026-08-31","","tests.api.user.UserApiTest","tests.api.user.UserApiTest","createUser"
"Проверка удаления пользователя по id","2681","API - Удаление пользователя по id","","2026-08-31","passed","2026-08-31","","tests.api.user.UserApiTest","tests.api.user.UserApiTest","deleteUser"
"Тест проверяет продажу нескольких автомобилей одним пользователем","13588","Множественная продажа автомобилей одним пользователем [2] 2","","2026-08-31","passed","2026-08-31","","tests.ui.car.SellCarTest","tests.ui.car.SellCarTest","multipleSalesByUser"
"В форме Create new user вводим валидные данные пользователя с полом MALE и ожидаем успешное создание с кодом 201 и новым id","6204","All POST - создание пользователя","","2026-08-31","passed","2026-08-31","","tests.ui.allpost.AllPostTest","tests.ui.allpost.AllPostTest","createUserFromAllPostPage"
"Создаём пользователя с известным балансом, создаём авто, покупаем и продаём; проверяем баланс","3775","API - Продажа автомобиля: проверка восстановления баланса после продажи","","2026-08-31","passed","2026-08-31","","tests.api.car.SellCarApiTest","tests.api.car.SellCarApiTest","sellCarCheckBalanceTest"
"Тест параметризованный тест на создание автомобиля","6151","Создание автомобилей с разными параметрами [2] Diesel, BMW, X5, 200000","","2026-08-31","passed","2026-08-31","","tests.ui.car.CreateCarTest","tests.ui.car.CreateCarTest","createCarWithVariousData"
"Проверка переходов по основным разделам сайта","3912","checkOpeningPage(MenuOption) Проверка открытия страницы HOUSES_CREATE_NEW","","2026-08-31","passed","2026-08-31","","tests.ui.menu.MenuTest","tests.ui.menu.MenuTest","checkOpeningPage"
