"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка сортировки списка автомобилей","18906","checkSortingByNumericField(String) Сортировка автомобилей по полю ID","","2026-07-08","passed","2026-07-08","","tests.ui.car.CarSortTest","tests.ui.car.CarSortTest","checkSortingByNumericField"
"Проверка получения списка автомобилей пользователя, у пользователя  нет автомобиля","7043","Получение списка автомобилей пользователя (у пользователя нет машины)","","2026-07-08","passed","2026-07-08","","tests.ui.user.UserTest","tests.ui.user.UserTest","readUserWithNoCar"
"Проверка сортировки списка пользователей","31209","checkSortingByNumericField(String) Сортировка пользователей по полю Age","","2026-07-08","passed","2026-07-08","","tests.ui.user.UserTest","tests.ui.user.UserTest","checkSortingByNumericField"
"Проверка переходов по основным разделам сайта","3790","checkOpeningPage(MenuOption) Проверка открытия страницы USERS_SETTLE_TO_HOUSE","","2026-07-09","passed","2026-07-09","","tests.ui.menu.MenuTest","tests.ui.menu.MenuTest","checkOpeningPage"
"Проверка изменения пользователя","2234","API - Изменение пользователя","","2026-07-08","passed","2026-07-08","","tests.api.user.UserApiTest","tests.api.user.UserApiTest","changeUser"
"Проверка сообщения о некорректном вводе в поле password","2922","Ввод невалидных данных в поле 'email' Ввод невалидных данных в поле password: loremipsum","","2026-07-08","passed","2026-07-08","","tests.ui.login.LoginTest","tests.ui.login.LoginTest","validatePasswordInput"
"Проверка получения имущества пользователя","3948","API - Получение имущества пользователя","","2026-07-08","passed","2026-07-08","","tests.api.user.UserApiTest","tests.api.user.UserApiTest","getUserInfo"
"Проверка сообщения о некорректном вводе в поле password","2951","Ввод невалидных данных в поле 'email' Ввод невалидных данных в поле password: ok","","2026-07-08","passed","2026-07-08","","tests.ui.login.LoginTest","tests.ui.login.LoginTest","validatePasswordInput"
"Проверка негативной авторизации с невалидными данными","3728","Негативная авторизация с некорректными кредами Негативный логин c email: test@test.com, password: user","","2026-07-08","passed","2026-07-08","","tests.ui.login.LoginTest","tests.ui.login.LoginTest","negativeLoginWith"
"Параметризованный тест проверяет создание автомобиля с разными комбинациями марки, модели, типа двигателя и цены, а также последующее успешное удаление созданного автомобиля","1505","Создание и удаление автомобиля с различными параметрами Hyundai Elantra","","2026-07-08","passed","2026-07-08","","tests.api.car.CarApiTest","tests.api.car.CarApiTest","createAndDeleteCarTest"
"Проверка сортировки списка пользователей","40146","checkSortingByFixedTextField(String) Сортировка пользователей по полю Sex","","2026-07-08","passed","2026-07-08","","tests.ui.user.UserTest","tests.ui.user.UserTest","checkSortingByFixedTextField"
"Тест проверяет создание немецкого автомобиля (Mercedes E200)","1484","Создание немецкого автомобиля","","2026-07-08","passed","2026-07-08","","tests.api.car.CarCrudTest","tests.api.car.CarCrudTest","createGermanCarTest"
"Тест проверяет, что после покупки авто деньги пользователя уменьшиваются на стоимость авто","2554","API - Покупка авто проверяет уменьшение баланса","","2026-07-08","passed","2026-07-08","","tests.api.car.BuyCarApiTest","tests.api.car.BuyCarApiTest","buyCarCheckBalanceTest"
"Проверка добавления денег пользователю","30384","Добавление денег пользователю","","2026-07-08","broken","2026-07-08","","tests.ui.user.UserTest","tests.ui.user.UserTest","addMoney"
"Проверка создания нового пользователя","1455","API - Создание нового пользователя","","2026-07-08","passed","2026-07-08","","tests.api.user.UserApiTest","tests.api.user.UserApiTest","createUser"
"Тест проверяет создание нового автомобиля с валидными данными","5978","Создание нового автомобиля с валидными данными","","2026-07-08","passed","2026-07-08","","tests.ui.car.CreateCarTest","tests.ui.car.CreateCarTest","createCarWithValidData"
"Тест параметризованный тест на создание автомобиля","9975","Создание автомобилей с разными параметрами [4] PHEV, Audi, A8, 300000","","2026-07-08","passed","2026-07-08","","tests.ui.car.CreateCarTest","tests.ui.car.CreateCarTest","createCarWithVariousData"
"Проверка получения списка автомобилей пользователя, у пользователя 1 машина","9218","Получение списка автомобилей пользователя (у пользователя 1 машина)","","2026-07-08","passed","2026-07-08","","tests.ui.user.UserTest","tests.ui.user.UserTest","readUserWithOneCar"
"Проверка начисления денег пользователю","134182","API - Начисление денег пользователю","","2026-07-09","broken","2026-07-09","","tests.api.user.UserApiTest","tests.api.user.UserApiTest","addMoneyToUser"
"Тест проверяет попытку продажи с недействительным ID пользователя","10971","Ошибка при продаже с недействительным ID пользователя","","2026-07-08","passed","2026-07-08","","tests.ui.car.SellCarTest","tests.ui.car.SellCarTest","sellCarWithInvalidUserId"
"Тест проверяет создание и последующее изменение автомобиля, затем удаляет автомобиль","1886","Изменение автомобиля","","2026-07-08","passed","2026-07-08","","tests.api.car.CarCrudTest","tests.api.car.CarCrudTest","updateCarTest"
"Параметризованный тест проверяет обработку ошибок при создании автомобиля с некорректными данными: пустые значения, недопустимые типы двигателя, отрицательная цена, числовые значения в строковых полях","738","Создание автомобиля с невалидными данными [4] BMW, X5, Petrol, 10000","","2026-07-08","passed","2026-07-08","","tests.api.car.CarNegativeTest","tests.api.car.CarNegativeTest","createInvalidCarTest"
"Проверка получения дома по ID","1073","Получение дома по ID","","2026-07-08","passed","2026-07-08","","tests.api.house.HouseCrudTest","tests.api.house.HouseCrudTest","getHouseTest"
"Тест параметризованный тест на создание автомобиля","32855","Создание автомобилей с разными параметрами [3] Gasoline, Mercedes, E-Class, 250000","","2026-07-08","passed","2026-07-08","","tests.ui.car.CreateCarTest","tests.ui.car.CreateCarTest","createCarWithVariousData"
"Проверка удаления дома через страницу All DELETE","39541","Удаление дома через страницу All DELETE","","2026-07-08","passed","2026-07-08","","tests.ui.house.HouseDeleteTest","tests.ui.house.HouseDeleteTest","deleteHouseThroughUI"
"Параметризованный тест проверяет обработку ошибок при создании автомобиля с некорректными данными: пустые значения, недопустимые типы двигателя, отрицательная цена, числовые значения в строковых полях","726","Создание автомобиля с невалидными данными [6] , X5, Diesel, 10000","","2026-07-08","passed","2026-07-08","","tests.api.car.CarNegativeTest","tests.api.car.CarNegativeTest","createInvalidCarTest"
"Тест проверяет продажу автомобиля","12672","Продажа автомобиля пользователем","","2026-07-08","passed","2026-07-08","","tests.ui.car.SellCarTest","tests.ui.car.SellCarTest","sellCarSuccess"
"В форме Settle to house выбираем radio evict для заранее заселенного пользователя, ожидаем успешное выселение с кодом 200 и проверяем связь в БД","28120","All POST - выселение пользователя из дома","","2026-07-09","passed","2026-07-09","","tests.ui.allpost.AllPostTest","tests.ui.allpost.AllPostTest","evictUserFromHouseFromAllPostPage"
"Проверка открытия страницы Read all houses и кнопки Reload","13575","Проверка открытия страницы Read all houses и кнопки Reload","","2026-07-08","passed","2026-07-08","","tests.ui.house.AllHousesTest","tests.ui.house.AllHousesTest","testReadAllHousesPage"
"Тест проверяет создание автомобиля с дизельным двигателем (BMW X5)","1440","Создание дизельного автомобиля","","2026-07-08","passed","2026-07-08","","tests.api.car.CarCrudTest","tests.api.car.CarCrudTest","createDieselCarTest"
"Параметризованный тест проверяет обработку ошибок при создании автомобиля с некорректными данными: пустые значения, недопустимые типы двигателя, отрицательная цена, числовые значения в строковых полях","746","Создание автомобиля с невалидными данными [2] BMW, null, Diesel, 10000","","2026-07-08","passed","2026-07-08","","tests.api.car.CarNegativeTest","tests.api.car.CarNegativeTest","createInvalidCarTest"
"Тест проверяет получение списка автомобилей","2318","Получение списка автомобилей","","2026-07-08","passed","2026-07-08","","tests.api.car.CarCrudTest","tests.api.car.CarCrudTest","getCars"
"Проверка получения списка автомобилей пользователя, у пользователя несколько машин","30392","Получение списка автомобилей пользователя Получение списка автомобилей пользователя - машин у пользователя: 5","","2026-07-08","broken","2026-07-08","","tests.ui.user.UserTest","tests.ui.user.UserTest","readUserWithCars"
"Параметризованный тест проверяет обработку ошибок при создании автомобиля с некорректными данными: пустые значения, недопустимые типы двигателя, отрицательная цена, числовые значения в строковых полях","817","Создание автомобиля с невалидными данными [1] null, X5, Diesel, 10000","","2026-07-08","passed","2026-07-08","","tests.api.car.CarNegativeTest","tests.api.car.CarNegativeTest","createInvalidCarTest"
"Проверка получения несуществующего пользователя","1829","API - Попытка получения несуществующего пользователя по id","","2026-07-08","passed","2026-07-08","","tests.api.user.UserApiTest","tests.api.user.UserApiTest","getNotExistingUserById"
