"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6045","All POST - заселение пользователя в дом","","2026-07-06","passed","2026-07-06","","tests.ui.allpost.AllPostTest","tests.ui.allpost.AllPostTest","settleUserToHouseFromAllPostPage"
"Создание нового дома с базовыми параметрами","14364","createSimpleHouse()","","2026-07-06","failed","2026-07-06","","tests.ui.house.HouseTest","tests.ui.house.HouseTest","createSimpleHouse"
"Тест проверяет множественную покупку автомобиля и сверяет статус код в каждой итерацииёё","7338","Проверка статуса после покупки","","2026-07-06","passed","2026-07-06","","tests.ui.car.BuyCarTest","tests.ui.car.BuyCarTest","checkStatusAfterPurchase"
"","17549","checkSortingByTextField(String) Сортировка автомобилей по полю Mark","","2026-07-06","passed","2026-07-06","","tests.ui.car.CarSortTest","tests.ui.car.CarSortTest","checkSortingByTextField"
"","5286","UI - Удаление пользователя через страницу All DELETE","","2026-07-06","passed","2026-07-06","","tests.ui.user.UserTest","tests.ui.user.UserTest","deleteUserThroughUI"
"Тест проверяет создание автомобиля с водородным двигателем (Audi A4)","1375","Создание водородного автомобиля","","2026-07-06","passed","2026-07-06","","tests.api.car.CarCrudTest","tests.api.car.CarCrudTest","createPetrolCarTest"
"","7356","Множественные покупки одним пользователем [1] 1","","2026-07-06","passed","2026-07-06","","tests.ui.car.BuyCarTest","tests.ui.car.BuyCarTest","multiplePurchasesByUser"
"Проверка открытия страницы Read all houses и кнопки Reload","27987","testReadAllHousesPage()","","2026-07-06","passed","2026-07-06","","tests.ui.house.AllHousesTest","tests.ui.house.AllHousesTest","testReadAllHousesPage"
"","5540","All POST - создание пользователя женского пола","","2026-07-06","passed","2026-07-06","","tests.ui.allpost.AllPostTest","tests.ui.allpost.AllPostTest","createFemaleUserFromAllPostPage"
"Проверка сообщения о некорректном вводе в поле password","2491","Ввод невалидных данных в поле 'email' Ввод невалидных данных в поле password: loremipsum","","2026-07-06","passed","2026-07-06","","tests.ui.login.LoginTest","tests.ui.login.LoginTest","validatePasswordInput"
"Тест параметризованный тест на создание автомобиля","3108","Создание автомобилей с разными параметрами [5] Hydrogenic, Lexus, LS, 350000","","2026-07-06","passed","2026-07-06","","tests.ui.car.CreateCarTest","tests.ui.car.CreateCarTest","createCarWithVariousData"
"Тест параметризованный тест на создание автомобиля","2979","Создание автомобилей с разными параметрами [3] Gasoline, Mercedes, E-Class, 250000","","2026-07-06","passed","2026-07-06","","tests.ui.car.CreateCarTest","tests.ui.car.CreateCarTest","createCarWithVariousData"
"Тест параметризованный тест на создание автомобиля","3017","Создание автомобилей с разными параметрами [2] Diesel, BMW, X5, 200000","","2026-07-06","passed","2026-07-06","","tests.ui.car.CreateCarTest","tests.ui.car.CreateCarTest","createCarWithVariousData"
"Проверка переходов по основным разделам сайта","3182","checkOpeningPage(MenuOption) Проверка открытия страницы USERS_READ_ALL","","2026-07-06","passed","2026-07-06","","tests.ui.menu.MenuTest","tests.ui.menu.MenuTest","checkOpeningPage"
"Тест проверяет создание немецкого автомобиля (Mercedes E200)","1308","Создание немецкого автомобиля","","2026-07-06","passed","2026-07-06","","tests.api.car.CarCrudTest","tests.api.car.CarCrudTest","createGermanCarTest"
"","664","API - Создание дома","","2026-07-06","passed","2026-07-06","","tests.api.allpost.AllPostApiTest","tests.api.allpost.AllPostApiTest","createHouse"
"Проверка добавления денег пользователю","5752","Добавление денег пользователю","","2026-07-06","passed","2026-07-06","","tests.ui.user.UserTest","tests.ui.user.UserTest","addMoney"
"Тест проверяет покупку автомобиля с недостаточными средствами","7585","Ошибка при покупке с недостаточными средствами","","2026-07-06","passed","2026-07-06","","tests.ui.car.BuyCarTest","tests.ui.car.BuyCarTest","buyCarWithInsufficientMoney"
"","14293","Множественные покупки одним пользователем [3] 3","","2026-07-06","passed","2026-07-06","","tests.ui.car.BuyCarTest","tests.ui.car.BuyCarTest","multiplePurchasesByUser"
"Проверка получения списка автомобилей пользователя","4310","API - Получение списка автомобилей пользователя","","2026-07-06","passed","2026-07-06","","tests.api.user.UserApiTest","tests.api.user.UserApiTest","getUserCars"
"","5591","All POST - создание пользователя","","2026-07-06","passed","2026-07-06","","tests.ui.allpost.AllPostTest","tests.ui.allpost.AllPostTest","createUserFromAllPostPage"
"Проверка создания нового пользователя","1355","API - Создание нового пользователя","","2026-07-06","passed","2026-07-06","","tests.api.user.UserApiTest","tests.api.user.UserApiTest","createUser"
"Проверка создания пользователя с невалидными данными","667","API - Создание пользователя с невалидными данными Создание пользователя с невалидными данными - UserRq(id=null, age=null, firstName=Rudolph, money=484049.72, secondName=Johns, sex=MALE)","","2026-07-06","passed","2026-07-06","","tests.api.user.UserApiTest","tests.api.user.UserApiTest","createUserWithNullFields"
"Удаление дома через страницу All DELETE с проверкой в БД","6507","UI - Удаление дома через страницу All DELETE","","2026-07-06","passed","2026-07-06","","tests.ui.house.HouseDeleteTest","tests.ui.house.HouseDeleteTest","deleteHouseThroughUI"
"Проверка создания пользователя с невалидными данными","4898","Создание пользователя с невалидными данными Создание пользователя с невалидными данными - User(id=null, firstName=null, lastName=Harris, age=12, sex=MALE, money=267868.98)","","2026-07-06","passed","2026-07-06","","tests.ui.user.UserTest","tests.ui.user.UserTest","createInvalidUser"
"","2756","API - Заселение и выселение пользователя из дома","","2026-07-06","passed","2026-07-06","","tests.api.allpost.AllPostApiTest","tests.api.allpost.AllPostApiTest","settleAndEvictUserInHouse"
"Тест проверяет создание дорогого электромобиля (Tesla ModelX)","1371","Создание дорогого автомобиля","","2026-07-06","passed","2026-07-06","","tests.api.car.CarCrudTest","tests.api.car.CarCrudTest","createExpensiveCarTest"
"Проверка создания пользователя с невалидными данными","4928","Создание пользователя с невалидными данными Создание пользователя с невалидными данными - User(id=null, firstName=Gearldine, lastName=Schmeler, age=18, sex=FEMALE, money=null)","","2026-07-06","passed","2026-07-06","","tests.ui.user.UserTest","tests.ui.user.UserTest","createInvalidUser"
"Проверка создания пользователя с невалидными данными","688","API - Создание пользователя с невалидными данными Создание пользователя с невалидными данными - UserRq(id=null, age=74, firstName=Shaunta, money=720998.98, secondName=null, sex=MALE)","","2026-07-06","passed","2026-07-06","","tests.api.user.UserApiTest","tests.api.user.UserApiTest","createUserWithNullFields"
"Тест проверяет создание электромобиля (Tesla Model3)","1369","Создание электрического автомобиля","","2026-07-06","passed","2026-07-06","","tests.api.car.CarCrudTest","tests.api.car.CarCrudTest","createElectricCarTest"
"Параметризованный тест проверяет обработку ошибок при создании автомобиля с некорректными данными: пустые значения, недопустимые типы двигателя, отрицательная цена, числовые значения в строковых полях","683","Создание автомобиля с невалидными данными [4] BMW, X5, Petrol, 10000","","2026-07-06","passed","2026-07-06","","tests.api.car.CarNegativeTest","tests.api.car.CarNegativeTest","createInvalidCarTest"
"Параметризованный тест проверяет создание автомобиля с разными комбинациями марки, модели, типа двигателя и цены, а также последующее успешное удаление созданного автомобиля","1386","Создание и удаление автомобиля с различными параметрами Audi A4","","2026-07-06","passed","2026-07-06","","tests.api.car.CarApiTest","tests.api.car.CarApiTest","createAndDeleteCarTest"
"Создаём пользователя, создаём авто, покупаем авто, продаём авто и проверяем, что авто больше не в списке пользователя","3235","API - Продажа автомобиля: проверка удаления авто из имущества пользователя","","2026-07-06","failed","2026-07-06","","tests.api.car.SellCarApiTest","tests.api.car.SellCarApiTest","sellCarTest"
"Проверка переходов по основным разделам сайта","3222","checkOpeningPage(MenuOption) Проверка открытия страницы CARS_CREATE_NEW","","2026-07-06","passed","2026-07-06","","tests.ui.menu.MenuTest","tests.ui.menu.MenuTest","checkOpeningPage"
"Параметризованный тест проверяет создание автомобиля с разными комбинациями марки, модели, типа двигателя и цены, а также последующее успешное удаление созданного автомобиля","1371","Создание и удаление автомобиля с различными параметрами Toyota Corolla","","2026-07-06","passed","2026-07-06","","tests.api.car.CarApiTest","tests.api.car.CarApiTest","createAndDeleteCarTest"
"Проверка переходов по основным разделам сайта","3226","checkOpeningPage(MenuOption) Проверка открытия страницы USERS_CREATE_NEW","","2026-07-06","passed","2026-07-06","","tests.ui.menu.MenuTest","tests.ui.menu.MenuTest","checkOpeningPage"
"Создаём пользователя с известным балансом, создаём авто, покупаем и продаём; проверяем баланс","3356","API - Продажа автомобиля: проверка восстановления баланса после продажи","","2026-07-06","passed","2026-07-06","","tests.api.car.SellCarApiTest","tests.api.car.SellCarApiTest","sellCarCheckBalanceTest"
"Проверка выдачи кредита пользователю","0","Выдача кредита пользователю","","2026-07-06","skipped","2026-07-06","","tests.ui.user.UserTest","tests.ui.user.UserTest","issueALoan"
"","1013","Получение дома по ID","","2026-07-06","passed","2026-07-06","","tests.api.house.HouseCrudTest","tests.api.house.HouseCrudTest","getHouseTest"
"","3473","All POST - отображение всех POST-форм","","2026-07-06","passed","2026-07-06","","tests.ui.allpost.AllPostTest","tests.ui.allpost.AllPostTest","checkAllPost"
"Проверка сортировки списка пользователей","26662","checkSortingByTextField(String) Сортировка пользователей по полю First name","","2026-07-06","passed","2026-07-06","","tests.ui.user.UserTest","tests.ui.user.UserTest","checkSortingByTextField"
"Проверка получения пользователя по id","1658","API - Получение пользователя по id","","2026-07-06","passed","2026-07-06","","tests.api.user.UserApiTest","tests.api.user.UserApiTest","getUserById"
"","16578","checkSortingByFixedTextField(String) Сортировка автомобилей по полю Engine Type","","2026-07-06","passed","2026-07-06","","tests.ui.car.CarSortTest","tests.ui.car.CarSortTest","checkSortingByFixedTextField"
"Тест проверяет, что после покупки авто деньги пользователя уменьшиваются на стоимость авто","2428","API - Покупка авто проверяет уменьшение баланса","","2026-07-06","passed","2026-07-06","","tests.api.car.BuyCarApiTest","tests.api.car.BuyCarApiTest","buyCarCheckBalanceTest"
"Проверка сообщения о некорректном вводе в поле email","2501","Ввод невалидных данных в поле 'email' Ввод невалидных данных в поле email: test","","2026-07-06","passed","2026-07-06","","tests.ui.login.LoginTest","tests.ui.login.LoginTest","validateEmailInput"
"Тест проверяет возможность покупки несуществующего автомобиля","5086","Ошибка при попытке купить несуществующий автомобиль","","2026-07-06","passed","2026-07-06","","tests.ui.car.BuyCarTest","tests.ui.car.BuyCarTest","buyNonExistentCar"
"Тест проверяет создание японского автомобиля (Toyota Camry)","1339","Создание японского автомобиля","","2026-07-06","passed","2026-07-06","","tests.api.car.CarCrudTest","tests.api.car.CarCrudTest","createJapaneseCarTest"
"Проверка получения имущества пользователя","3662","API - Получение имущества пользователя","","2026-07-06","passed","2026-07-06","","tests.api.user.UserApiTest","tests.api.user.UserApiTest","getUserInfo"
"Проверка успешной авторизации с валидными данными","3145","Успешная авторизация с корректными кредами","","2026-07-06","passed","2026-07-06","","tests.ui.login.LoginTest","tests.ui.login.LoginTest","successLogin"
"Параметризованный тест проверяет обработку ошибок при создании автомобиля с некорректными данными: пустые значения, недопустимые типы двигателя, отрицательная цена, числовые значения в строковых полях","667","Создание автомобиля с невалидными данными [7] 123, X5, Diesel, 10000","","2026-07-06","passed","2026-07-06","","tests.api.car.CarNegativeTest","tests.api.car.CarNegativeTest","createInvalidCarTest"
"Проверка удаления пользователя по id","2361","API - Удаление пользователя по id","","2026-07-06","passed","2026-07-06","","tests.api.user.UserApiTest","tests.api.user.UserApiTest","deleteUser"
"Проверка удаления пользователя, у которого есть машина","4742","Попытка удаления пользователя, у которого есть машина","","2026-07-06","passed","2026-07-06","","tests.api.user.UserApiTest","tests.api.user.UserApiTest","deleteUserHavingCar"
"Проверка создания пользователя с невалидными данными","4843","Создание пользователя с невалидными данными Создание пользователя с невалидными данными - User(id=null, firstName=Sonja, lastName=null, age=74, sex=MALE, money=741022.62)","","2026-07-06","passed","2026-07-06","","tests.ui.user.UserTest","tests.ui.user.UserTest","createInvalidUser"
"Проверка сортировки списка пользователей","29430","checkSortingByNumericField(String) Сортировка пользователей по полю Age","","2026-07-06","passed","2026-07-06","","tests.ui.user.UserTest","tests.ui.user.UserTest","checkSortingByNumericField"
"Проверка создания пользователя с невалидными данными","4866","Создание пользователя с невалидными данными Создание пользователя с невалидными данными - User(id=null, firstName=Hassan, lastName=Littel, age=null, sex=FEMALE, money=699000.07)","","2026-07-06","passed","2026-07-06","","tests.ui.user.UserTest","tests.ui.user.UserTest","createInvalidUser"
"Проверка получения списка автомобилей пользователя, у пользователя  нет автомобиля","6183","Получение списка автомобилей пользователя (у пользователя нет машины)","","2026-07-06","passed","2026-07-06","","tests.ui.user.UserTest","tests.ui.user.UserTest","readUserWithNoCar"
"Проверка негативной авторизации с невалидными данными","3002","Негативная авторизация с некорректными кредами Негативный логин c email: user@pflb.ru, password: test","","2026-07-06","passed","2026-07-06","","tests.ui.login.LoginTest","tests.ui.login.LoginTest","negativeLoginWith"
"Проверка создания нового пользователя","7085","Создание нового пользователя","","2026-07-06","passed","2026-07-06","","tests.ui.user.UserTest","tests.ui.user.UserTest","createUser"
"Тест параметризованный тест на создание автомобиля","2989","Создание автомобилей с разными параметрами [1] CNG, Toyota, Camry, 100000","","2026-07-06","passed","2026-07-06","","tests.ui.car.CreateCarTest","tests.ui.car.CreateCarTest","createCarWithVariousData"
"Проверка начисления денег несуществующему пользователю","2010","API - Попытка начисления денег несуществующему пользователю","","2026-07-06","passed","2026-07-06","","tests.api.user.UserApiTest","tests.api.user.UserApiTest","addMoneyToNotExistingUser"
"Проверка сообщения о некорректном вводе в поле email","2465","Ввод невалидных данных в поле 'email' Ввод невалидных данных в поле email: test.com","","2026-07-06","passed","2026-07-06","","tests.ui.login.LoginTest","tests.ui.login.LoginTest","validateEmailInput"
"Проверка переходов по основным разделам сайта","3231","checkOpeningPage(MenuOption) Проверка открытия страницы USERS_ISSUE_LOAN","","2026-07-06","passed","2026-07-06","","tests.ui.menu.MenuTest","tests.ui.menu.MenuTest","checkOpeningPage"
