"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест параметризованный тест на создание автомобиля","3860","Создание автомобилей с разными параметрами [5] Hydrogenic, Lexus, LS, 350000","","2026-07-06","passed","2026-07-06","","tests.ui.car.CreateCarTest","tests.ui.car.CreateCarTest","createCarWithVariousData"
"Проверка изменения пользователя","2540","API - Изменение пользователя","","2026-07-06","passed","2026-07-06","","tests.api.user.UserApiTest","tests.api.user.UserApiTest","changeUser"
"Проверка сортировки списка пользователей","38058","checkSortingByNumericField(String) Сортировка пользователей по полю Age","","2026-07-06","passed","2026-07-06","","tests.ui.user.UserTest","tests.ui.user.UserTest","checkSortingByNumericField"
"Удаление авто через страницу All DELETE с проверкой в БД","8130","UI - Удаление автомобиля через страницу All DELETE","","2026-07-06","passed","2026-07-06","","tests.ui.car.CarDeleteTest","tests.ui.car.CarDeleteTest","deleteCarThroughUI"
"Проверка создания пользователя с невалидными данными","842","API - Создание пользователя с невалидными данными Создание пользователя с невалидными данными - UserRq(id=null, age=95, firstName=null, money=505436.01, secondName=Gutmann, sex=MALE)","","2026-07-06","passed","2026-07-06","","tests.api.user.UserApiTest","tests.api.user.UserApiTest","createUserWithNullFields"
"","6542","All POST - создание автомобиля","","2026-07-06","passed","2026-07-06","","tests.ui.allpost.AllPostTest","tests.ui.allpost.AllPostTest","createCarFromAllPostPage"
"Проверка отмены успешной авторизации с валидными данными","3846","Негативная авторизация с корректными кредами","","2026-07-06","passed","2026-07-06","","tests.ui.login.LoginTest","tests.ui.login.LoginTest","negativeLogin"
"Проверка переходов по основным разделам сайта","4128","checkOpeningPage(MenuOption) Проверка открытия страницы CARS_READ_ALL","","2026-07-06","passed","2026-07-06","","tests.ui.menu.MenuTest","tests.ui.menu.MenuTest","checkOpeningPage"
"Проверка получения списка автомобилей пользователя, у пользователя  несколько машин","23390","Получение списка автомобилей пользователя Получение списка автомобилей пользователя - машин у пользователя: 5","","2026-07-06","passed","2026-07-06","","tests.ui.user.UserTest","tests.ui.user.UserTest","readUserWithCars"
"Тест проверяет создание японского автомобиля (Toyota Camry)","1691","Создание японского автомобиля","","2026-07-06","passed","2026-07-06","","tests.api.car.CarCrudTest","tests.api.car.CarCrudTest","createJapaneseCarTest"
